pitcher_id,pitcher_name,age,airOuts,atBats,avg,balks,baseOnBalls,battersFaced,blownSaves,catchersInterference,caughtStealing,caughtStealingPercentage,completeGames,doubles,earnedRuns,era,gamesFinished,gamesPitched,gamesPlayed,gamesStarted,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitBatsmen,hitByPitch,hits,hitsPer9Inn,holds,homeRuns,homeRunsPer9,inheritedRunners,inheritedRunnersScored,inningsPitched,intentionalWalks,losses,numberOfPitches,obp,ops,outs,pickoffs,pitchesPerInning,runs,runsScoredPer9,sacBunts,sacFlies,saveOpportunities,saves,shutouts,slg,stolenBasePercentage,stolenBases,strikeOuts,strikePercentage,strikeoutWalkRatio,strikeoutsPer9Inn,strikes,totalBases,triples,walksPer9Inn,whip,wildPitches,winPercentage,wins
814803,Logan Martin,23,10,46,.348,0,8,55,0,0,2,.400,0,1,12,9.82,0,5,5,5,1,15,1.50,0,0,16,13.09,0,2,1.64,0,0,11.0,0,2,220,.436,.936,33,2,20.00,16,13.09,0,1,0,0,0,.500,.600,3,6,.550,0.75,4.91,120,23,0,6.55,2.18,0,.333,1
820901,Anderson Brito,20,5,39,.154,0,7,47,1,0,0,.000,0,0,5,3.97,0,4,4,3,0,6,1.20,1,1,6,4.76,0,1,0.79,0,0,11.1,0,0,199,.298,.529,34,0,17.56,6,4.76,0,0,1,0,0,.231,1.000,6,22,.610,3.14,17.47,121,9,0,5.56,1.15,1,1.000,2
813895,Corey Avant,23,9,52,.404,0,11,66,1,0,2,.286,0,6,17,12.41,0,6,6,3,2,11,1.22,1,1,21,15.32,0,2,1.46,0,0,12.1,0,2,288,.500,1.135,37,0,23.35,18,13.14,0,2,1,0,0,.635,.714,5,13,.580,1.18,9.49,167,33,0,8.03,2.59,2,.000,0
687020,Mason Auer,24,8,26,.423,0,7,37,1,0,0,.000,0,2,8,13.50,1,8,8,0,0,2,0.25,2,2,11,18.56,1,0,0.00,9,4,5.1,0,0,159,.541,1.041,16,0,29.81,11,18.56,0,2,1,0,0,.500,1.000,1,7,.520,1.00,11.81,83,13,0,11.81,3.38,1,1.000,1
830485,Trent Buchanan,23,10,34,.353,0,9,45,1,0,1,.500,0,8,9,10.57,0,9,9,0,0,6,0.60,1,1,12,14.09,0,1,1.17,8,5,7.2,0,1,182,.489,1.165,23,0,23.74,10,11.74,0,1,1,0,0,.676,.500,1,7,.550,0.78,8.22,101,23,0,10.57,2.74,0,.000,0
805812,Dylan Questad,20,5,21,.238,0,13,34,0,0,0,.000,0,0,9,15.19,0,5,5,1,0,6,1.20,0,0,5,8.44,2,0,0.00,0,0,5.1,0,1,154,.529,.767,16,0,28.88,9,15.19,0,0,0,0,0,.238,1.000,5,5,.440,0.38,8.44,68,5,0,21.94,3.38,0,.000,0
682981,Derek Diamond,24,19,52,.365,1,11,68,1,0,0,.000,0,1,12,7.90,1,9,9,0,3,10,0.53,0,0,19,12.51,2,0,0.00,6,0,13.2,0,0,249,.441,.903,41,1,18.22,14,9.22,0,5,1,0,0,.462,1.000,5,9,.610,0.82,5.93,152,24,2,7.24,2.20,2,1.000,1
807724,Justin Chambers,19,3,31,.161,0,5,36,0,0,0,.000,0,2,5,5.40,0,8,8,0,1,13,4.33,0,0,5,5.40,2,0,0.00,3,0,8.1,0,2,137,.278,.504,25,0,16.44,5,5.40,0,0,0,0,0,.226,1.000,5,10,.610,2.00,10.80,83,7,0,5.40,1.20,1,.000,0
806641,Kolton Curtis,21,5,35,.314,0,9,46,0,0,0,.000,0,3,10,11.74,0,5,5,1,1,10,2.00,2,2,11,12.91,1,0,0.00,2,2,7.2,0,1,167,.478,.878,23,0,21.78,13,15.26,0,0,0,0,0,.400,1.000,6,9,.520,1.00,10.57,87,14,0,10.57,2.61,4,.000,0
678738,Juan Sanchez,24,8,30,.233,1,4,38,0,0,3,.750,0,1,3,2.70,0,7,7,0,3,5,0.63,3,3,7,6.30,3,1,0.90,6,2,10.0,0,1,151,.368,.735,30,2,15.10,3,2.70,0,1,0,0,0,.367,.250,1,11,.640,2.75,9.90,96,11,0,3.60,1.10,2,.667,2
